id,category_l1,category_l2,category_l3,title,content,service_name,error_code,tags,symptom,root_cause,resolution_steps,verification_steps,source,updated_at
kb_001,case,mq,rate_limit,外部恶意流量攻击触发mq网关层限流策略,系统监测到某IP段对mq核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,mq-service,MQ_RATE_LIMIT_001,rate_limit|mq|case,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,incident-2026-03-21,2026-03-19T10:00:00Z
kb_002,sop,payment,high_latency,payment模块数据库慢查询引起的服务高延迟告警,在payment业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,payment-service,PAYMENT_HIGH_LATENCY_002,high_latency|payment|sop,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,runbook-v1,2026-03-23T10:00:00Z
kb_003,error_code,payment,timeout,系统由于下游payment接口响应缓慢导致请求超时,在业务高峰期，系统调用下游payment服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,payment-service,PAYMENT_READTIMEOUT_003,timeout|payment|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-11T10:00:00Z
kb_004,case,order,deadlock,order事务处理过程中因加锁顺序不一导致死锁,在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,order-service,ORDER_DEADLOCK_004,deadlock|order|case,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,incident-2026-03-11,2026-03-24T10:00:00Z
kb_005,error_code,mq,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败,在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问mq接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,mq-service,MQ_AUTH_TOKEN_EXPIRED_005,auth_failed|mq|error_code,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,runbook-v1,2026-03-18T10:00:00Z
kb_006,case,auth,data_inconsistency,auth业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是auth数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,auth-service,AUTH_DATA_INCONSISTENCY_006,data_inconsistency|auth|case,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,incident-2026-03-17,2026-03-26T10:00:00Z
kb_007,case,cache,deadlock,cache事务处理过程中因加锁顺序不一导致死锁,在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,cache-service,CACHE_DEADLOCK_007,deadlock|cache|case,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,incident-2026-03-12,2026-03-10T10:00:00Z
kb_008,error_code,user,timeout,系统由于下游user接口响应缓慢导致请求超时,在业务高峰期，系统调用下游user服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,user-service,USER_READTIMEOUT_008,timeout|user|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-24T10:00:00Z
kb_009,case,payment,dependency_failure,关键中间件组件失效导致payment服务功能受损,由于payment服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,payment-service,PAYMENT_DEPENDENCY_FAILURE_009,dependency_failure|payment|case,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,incident-2026-03-25,2026-03-11T10:00:00Z
kb_010,sop,gateway,high_latency,gateway模块数据库慢查询引起的服务高延迟告警,在gateway业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,gateway-service,GATEWAY_HIGH_LATENCY_010,high_latency|gateway|sop,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,runbook-v1,2026-03-22T10:00:00Z
kb_011,error_code,inventory,rate_limit,外部恶意流量攻击触发inventory网关层限流策略,系统监测到某IP段对inventory核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,inventory-service,INVENTORY_RATE_LIMIT_011,rate_limit|inventory|error_code,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,runbook-v1,2026-03-26T10:00:00Z
kb_012,case,db,dependency_failure,关键中间件组件失效导致db服务功能受损,由于db服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,db-service,DB_DEPENDENCY_FAILURE_012,dependency_failure|db|case,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,incident-2026-03-16,2026-03-14T10:00:00Z
kb_013,sop,user,oom,user服务由于大量集合对象未释放引发内存溢出,在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,user-service,USER_OOM_013,oom|user|sop,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,runbook-v1,2026-03-26T10:00:00Z
kb_014,error_code,db,data_inconsistency,db业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是db数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,db-service,DB_DATA_INCONSISTENCY_014,data_inconsistency|db|error_code,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-24T10:00:00Z
kb_015,case,db,timeout,系统由于下游db接口响应缓慢导致请求超时,在业务高峰期，系统调用下游db服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,db-service,DB_READTIMEOUT_015,timeout|db|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-26,2026-03-12T10:00:00Z
kb_016,error_code,auth,oom,auth服务由于大量集合对象未释放引发内存溢出,在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,auth-service,AUTH_OOM_016,oom|auth|error_code,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,runbook-v1,2026-03-17T10:00:00Z
kb_017,case,db,timeout,系统由于下游db接口响应缓慢导致请求超时 [场景-017],在业务高峰期，系统调用下游db服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,db-service,DB_READTIMEOUT_017,timeout|db|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-25,2026-03-10T10:00:00Z
kb_018,error_code,search,data_inconsistency,search业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是search数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,search-service,SEARCH_DATA_INCONSISTENCY_018,data_inconsistency|search|error_code,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-25T10:00:00Z
kb_019,case,auth,retry_storm,下游故障引发调用链重试风暴导致服务雪崩,当下游auth服务出现短暂波动时，上游服务配置的无限重试机制导致请求量呈指数级增长，压垮了整个链路。处理思路是开启断路器并引入指数退避算法。,auth-service,AUTH_RETRY_STORM_019,retry_storm|auth|case,服务流量呈现波浪式激增，系统CPU负载呈直线上升趋势。,重试策略缺乏抖动处理和最大重试次数限制，造成流量放大效应。,1) 调整重试间隔为指数避让策略; 2) 配置全局熔断开关; 3) 隔离核心调用链。,1) 观察QPS放大倍数监控; 2) 检查分布式追踪系统中的重试标识。,incident-2026-03-17,2026-03-16T10:00:00Z
kb_020,error_code,search,oom,search服务由于大量集合对象未释放引发内存溢出,在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,search-service,SEARCH_OOM_020,oom|search|error_code,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,runbook-v1,2026-03-22T10:00:00Z
kb_021,case,gateway,high_latency,gateway模块数据库慢查询引起的服务高延迟告警 [场景-021],在gateway业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,gateway-service,GATEWAY_HIGH_LATENCY_021,high_latency|gateway|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-21,2026-03-22T10:00:00Z
kb_022,sop,inventory,timeout,系统由于下游inventory接口响应缓慢导致请求超时,在业务高峰期，系统调用下游inventory服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,inventory-service,INVENTORY_READTIMEOUT_022,timeout|inventory|sop,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-17T10:00:00Z
kb_023,sop,payment,data_inconsistency,payment业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是payment数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,payment-service,PAYMENT_DATA_INCONSISTENCY_023,data_inconsistency|payment|sop,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-19T10:00:00Z
kb_024,sop,payment,data_inconsistency,payment业务数据主从库同步延迟导致一致性异常 [场景-024],用户在更新资料后立即查询，发现数据仍为旧值。排查发现是payment数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,payment-service,PAYMENT_DATA_INCONSISTENCY_024,data_inconsistency|payment|sop,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-12T10:00:00Z
kb_025,sop,search,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败 [场景-025],在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问search接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,search-service,SEARCH_AUTH_TOKEN_EXPIRED_025,auth_failed|search|sop,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,runbook-v1,2026-03-19T10:00:00Z
kb_026,sop,search,retry_storm,下游故障引发调用链重试风暴导致服务雪崩 [场景-026],当下游search服务出现短暂波动时，上游服务配置的无限重试机制导致请求量呈指数级增长，压垮了整个链路。处理思路是开启断路器并引入指数退避算法。,search-service,SEARCH_RETRY_STORM_026,retry_storm|search|sop,服务流量呈现波浪式激增，系统CPU负载呈直线上升趋势。,重试策略缺乏抖动处理和最大重试次数限制，造成流量放大效应。,1) 调整重试间隔为指数避让策略; 2) 配置全局熔断开关; 3) 隔离核心调用链。,1) 观察QPS放大倍数监控; 2) 检查分布式追踪系统中的重试标识。,runbook-v1,2026-03-13T10:00:00Z
kb_027,case,user,high_latency,user模块数据库慢查询引起的服务高延迟告警,在user业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,user-service,USER_HIGH_LATENCY_027,high_latency|user|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-17,2026-03-13T10:00:00Z
kb_028,sop,user,data_inconsistency,user业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是user数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,user-service,USER_DATA_INCONSISTENCY_028,data_inconsistency|user|sop,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-25T10:00:00Z
kb_029,sop,mq,dependency_failure,关键中间件组件失效导致mq服务功能受损,由于mq服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,mq-service,MQ_DEPENDENCY_FAILURE_029,dependency_failure|mq|sop,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,runbook-v1,2026-03-24T10:00:00Z
kb_030,case,gateway,connection_refused,gateway服务节点异常导致外部连接被拒绝故障,监控发现gateway服务的部分节点端口无法访问，TCP握手失败。初步分析是由于由于内核参数配置不当导致SYN队列溢出。处理思路是重启服务进程并优化内核内核参数。,gateway-service,GATEWAY_CONNECTIONREFUSED_030,connection_refused|gateway|case,服务日志出现ConnectionRefused错误，健康检查状态码为Down。,服务进程意外退出或最大连接数配置过低导致不再接收新请求。,1) 重启挂掉的服务容器; 2) 调整sysctl内核网络参数; 3) 检查防火墙策略。,1) 执行telnet端口探测; 2) 检查k8s集群端点就绪状态。,incident-2026-03-21,2026-03-19T10:00:00Z
kb_031,error_code,gateway,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败 [场景-031],在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问gateway接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,gateway-service,GATEWAY_AUTH_TOKEN_EXPIRED_031,auth_failed|gateway|error_code,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,runbook-v1,2026-03-20T10:00:00Z
kb_032,case,order,retry_storm,下游故障引发调用链重试风暴导致服务雪崩 [场景-032],当下游order服务出现短暂波动时，上游服务配置的无限重试机制导致请求量呈指数级增长，压垮了整个链路。处理思路是开启断路器并引入指数退避算法。,order-service,ORDER_RETRY_STORM_032,retry_storm|order|case,服务流量呈现波浪式激增，系统CPU负载呈直线上升趋势。,重试策略缺乏抖动处理和最大重试次数限制，造成流量放大效应。,1) 调整重试间隔为指数避让策略; 2) 配置全局熔断开关; 3) 隔离核心调用链。,1) 观察QPS放大倍数监控; 2) 检查分布式追踪系统中的重试标识。,incident-2026-03-10,2026-03-13T10:00:00Z
kb_033,case,gateway,timeout,系统由于下游gateway接口响应缓慢导致请求超时,在业务高峰期，系统调用下游gateway服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,gateway-service,GATEWAY_READTIMEOUT_033,timeout|gateway|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-16,2026-03-25T10:00:00Z
