id,category_l1,category_l2,category_l3,title,content,service_name,error_code,tags,symptom,root_cause,resolution_steps,verification_steps,source,updated_at
kb_034,case,payment,high_latency,payment模块数据库慢查询引起的服务高延迟告警 [场景-034],在payment业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,payment-service,PAYMENT_HIGH_LATENCY_034,high_latency|payment|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-12,2026-03-10T10:00:00Z
kb_035,case,gateway,data_inconsistency,gateway业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是gateway数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,gateway-service,GATEWAY_DATA_INCONSISTENCY_035,data_inconsistency|gateway|case,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,incident-2026-03-22,2026-03-19T10:00:00Z
kb_036,error_code,search,data_inconsistency,search业务数据主从库同步延迟导致一致性异常 [场景-036],用户在更新资料后立即查询，发现数据仍为旧值。排查发现是search数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,search-service,SEARCH_DATA_INCONSISTENCY_036,data_inconsistency|search|error_code,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-15T10:00:00Z
kb_037,case,db,timeout,系统由于下游db接口响应缓慢导致请求超时 [场景-037],在业务高峰期，系统调用下游db服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,db-service,DB_READTIMEOUT_037,timeout|db|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-12,2026-03-23T10:00:00Z
kb_038,case,gateway,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败 [场景-038],在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问gateway接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,gateway-service,GATEWAY_AUTH_TOKEN_EXPIRED_038,auth_failed|gateway|case,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,incident-2026-03-11,2026-03-22T10:00:00Z
kb_039,sop,auth,connection_refused,auth服务节点异常导致外部连接被拒绝故障,监控发现auth服务的部分节点端口无法访问，TCP握手失败。初步分析是由于由于内核参数配置不当导致SYN队列溢出。处理思路是重启服务进程并优化内核内核参数。,auth-service,AUTH_CONNECTIONREFUSED_039,connection_refused|auth|sop,服务日志出现ConnectionRefused错误，健康检查状态码为Down。,服务进程意外退出或最大连接数配置过低导致不再接收新请求。,1) 重启挂掉的服务容器; 2) 调整sysctl内核网络参数; 3) 检查防火墙策略。,1) 执行telnet端口探测; 2) 检查k8s集群端点就绪状态。,runbook-v1,2026-03-17T10:00:00Z
kb_040,error_code,inventory,deadlock,inventory事务处理过程中因加锁顺序不一导致死锁,在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,inventory-service,INVENTORY_DEADLOCK_040,deadlock|inventory|error_code,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,runbook-v1,2026-03-24T10:00:00Z
kb_041,case,db,dependency_failure,关键中间件组件失效导致db服务功能受损 [场景-041],由于db服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,db-service,DB_DEPENDENCY_FAILURE_041,dependency_failure|db|case,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,incident-2026-03-11,2026-03-13T10:00:00Z
kb_042,case,cache,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败 [场景-042],在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问cache接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,cache-service,CACHE_AUTH_TOKEN_EXPIRED_042,auth_failed|cache|case,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,incident-2026-03-18,2026-03-26T10:00:00Z
kb_043,case,mq,timeout,系统由于下游mq接口响应缓慢导致请求超时,在业务高峰期，系统调用下游mq服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,mq-service,MQ_READTIMEOUT_043,timeout|mq|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-17,2026-03-14T10:00:00Z
kb_044,error_code,cache,oom,cache服务由于大量集合对象未释放引发内存溢出,在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,cache-service,CACHE_OOM_044,oom|cache|error_code,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,runbook-v1,2026-03-18T10:00:00Z
kb_045,error_code,inventory,connection_refused,inventory服务节点异常导致外部连接被拒绝故障,监控发现inventory服务的部分节点端口无法访问，TCP握手失败。初步分析是由于由于内核参数配置不当导致SYN队列溢出。处理思路是重启服务进程并优化内核内核参数。,inventory-service,INVENTORY_CONNECTIONREFUSED_045,connection_refused|inventory|error_code,服务日志出现ConnectionRefused错误，健康检查状态码为Down。,服务进程意外退出或最大连接数配置过低导致不再接收新请求。,1) 重启挂掉的服务容器; 2) 调整sysctl内核网络参数; 3) 检查防火墙策略。,1) 执行telnet端口探测; 2) 检查k8s集群端点就绪状态。,runbook-v1,2026-03-13T10:00:00Z
kb_046,error_code,mq,dependency_failure,关键中间件组件失效导致mq服务功能受损 [场景-046],由于mq服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,mq-service,MQ_DEPENDENCY_FAILURE_046,dependency_failure|mq|error_code,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,runbook-v1,2026-03-19T10:00:00Z
kb_047,sop,cache,data_inconsistency,cache业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是cache数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,cache-service,CACHE_DATA_INCONSISTENCY_047,data_inconsistency|cache|sop,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-13T10:00:00Z
kb_048,error_code,order,rate_limit,外部恶意流量攻击触发order网关层限流策略,系统监测到某IP段对order核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,order-service,ORDER_RATE_LIMIT_048,rate_limit|order|error_code,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,runbook-v1,2026-03-24T10:00:00Z
kb_049,case,db,timeout,系统由于下游db接口响应缓慢导致请求超时 [场景-049],在业务高峰期，系统调用下游db服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,db-service,DB_READTIMEOUT_049,timeout|db|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-16,2026-03-15T10:00:00Z
kb_050,case,cache,oom,cache服务由于大量集合对象未释放引发内存溢出 [场景-050],在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,cache-service,CACHE_OOM_050,oom|cache|case,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,incident-2026-03-21,2026-03-17T10:00:00Z
kb_051,sop,payment,high_latency,payment模块数据库慢查询引起的服务高延迟告警 [场景-051],在payment业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,payment-service,PAYMENT_HIGH_LATENCY_051,high_latency|payment|sop,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,runbook-v1,2026-03-21T10:00:00Z
kb_052,case,auth,high_latency,auth模块数据库慢查询引起的服务高延迟告警,在auth业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,auth-service,AUTH_HIGH_LATENCY_052,high_latency|auth|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-14,2026-03-12T10:00:00Z
kb_053,error_code,cache,timeout,系统由于下游cache接口响应缓慢导致请求超时,在业务高峰期，系统调用下游cache服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,cache-service,CACHE_READTIMEOUT_053,timeout|cache|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-14T10:00:00Z
kb_054,case,search,timeout,系统由于下游search接口响应缓慢导致请求超时,在业务高峰期，系统调用下游search服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,search-service,SEARCH_READTIMEOUT_054,timeout|search|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-19,2026-03-12T10:00:00Z
kb_055,sop,db,timeout,系统由于下游db接口响应缓慢导致请求超时 [场景-055],在业务高峰期，系统调用下游db服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,db-service,DB_READTIMEOUT_055,timeout|db|sop,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-16T10:00:00Z
kb_056,error_code,auth,data_inconsistency,auth业务数据主从库同步延迟导致一致性异常 [场景-056],用户在更新资料后立即查询，发现数据仍为旧值。排查发现是auth数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,auth-service,AUTH_DATA_INCONSISTENCY_056,data_inconsistency|auth|error_code,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,runbook-v1,2026-03-25T10:00:00Z
kb_057,case,mq,data_inconsistency,mq业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是mq数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,mq-service,MQ_DATA_INCONSISTENCY_057,data_inconsistency|mq|case,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,incident-2026-03-11,2026-03-11T10:00:00Z
kb_058,case,cache,high_latency,cache模块数据库慢查询引起的服务高延迟告警,在cache业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,cache-service,CACHE_HIGH_LATENCY_058,high_latency|cache|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-19,2026-03-11T10:00:00Z
kb_059,error_code,auth,timeout,系统由于下游auth接口响应缓慢导致请求超时,在业务高峰期，系统调用下游auth服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,auth-service,AUTH_READTIMEOUT_059,timeout|auth|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-12T10:00:00Z
kb_060,case,auth,timeout,系统由于下游auth接口响应缓慢导致请求超时 [场景-060],在业务高峰期，系统调用下游auth服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,auth-service,AUTH_READTIMEOUT_060,timeout|auth|case,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,incident-2026-03-13,2026-03-17T10:00:00Z
kb_061,error_code,inventory,timeout,系统由于下游inventory接口响应缓慢导致请求超时 [场景-061],在业务高峰期，系统调用下游inventory服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,inventory-service,INVENTORY_READTIMEOUT_061,timeout|inventory|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-24T10:00:00Z
kb_062,case,payment,high_latency,payment模块数据库慢查询引起的服务高延迟告警 [场景-062],在payment业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,payment-service,PAYMENT_HIGH_LATENCY_062,high_latency|payment|case,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,incident-2026-03-12,2026-03-15T10:00:00Z
kb_063,case,inventory,deadlock,inventory事务处理过程中因加锁顺序不一导致死锁 [场景-063],在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,inventory-service,INVENTORY_DEADLOCK_063,deadlock|inventory|case,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,incident-2026-03-10,2026-03-26T10:00:00Z
kb_064,case,user,rate_limit,外部恶意流量攻击触发user网关层限流策略,系统监测到某IP段对user核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,user-service,USER_RATE_LIMIT_064,rate_limit|user|case,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,incident-2026-03-17,2026-03-10T10:00:00Z
kb_065,sop,auth,oom,auth服务由于大量集合对象未释放引发内存溢出 [场景-065],在导出大批量数据报表时，由于代码中使用了静态Map缓存了大量临时对象且未及时清理，导致JVM堆内存耗尽。处理思路是优化导出逻辑为流式读取。,auth-service,AUTH_OOM_065,oom|auth|sop,容器频繁重启(OOMKilled)，日志出现java.lang.OutOfMemoryError。,本地缓存使用不当或大对象未手动解引用，触发频繁Full GC。,1) 导出HeapDump进行分析; 2) 修改静态变量为局部变量; 3) 调整JVM内存大小。,1) 使用jstat观察内存回收趋势; 2) 压测验证内存波形是否平稳。,runbook-v1,2026-03-19T10:00:00Z
kb_066,error_code,user,timeout,系统由于下游user接口响应缓慢导致请求超时 [场景-066],在业务高峰期，系统调用下游user服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,user-service,USER_READTIMEOUT_066,timeout|user|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-25T10:00:00Z
